model,fold,train_rows,test_rows,macro_f1,poor_sleep_recall,roc_auc
Logistic Regression,1,299,75,1.0,1.0,1.0
Logistic Regression,2,299,75,0.9693627450980392,0.9583333333333334,0.9893790849673202
Logistic Regression,3,300,74,0.9395918367346938,1.0,1.0
Logistic Regression,4,299,75,1.0,1.0,1.0
Logistic Regression,5,299,75,1.0,1.0,1.0
Random Forest,1,299,75,1.0,1.0,1.0
Random Forest,2,299,75,0.94,0.9583333333333334,0.997549019607843
Random Forest,3,300,74,0.9395918367346938,1.0,1.0
Random Forest,4,299,75,1.0,1.0,1.0
Random Forest,5,299,75,0.9686454849498327,0.9166666666666666,1.0
XGBoost,1,299,75,1.0,1.0,1.0
XGBoost,2,299,75,0.94,0.9583333333333334,0.9975490196078431
XGBoost,3,300,74,0.9395918367346938,1.0,1.0
XGBoost,4,299,75,0.9841269841269842,0.9565217391304348,1.0
XGBoost,5,299,75,0.9686454849498327,0.9166666666666666,1.0
